Points:0,Points:1,Points:2
0.358,0,0.001
0.361,0,0.001
0.364,0,0.001
0.367,0,0.001
0.37,0,0.001
0.373,0,0.001
0.376,0,0.001
0.379,0,0.001
0.382,0,0.001
0.385,0,0.001
0.388,0,0.001
0.391,0,0.001
0.394,0,0.001
0.397,0,0.001
0.4,0,0.001
0.403,0,0.001
0.406,0,0.001
0.409,0,0.001
0.412,0,0.001
0.415,0,0.001
0.418,0,0.001
0.421,0,0.001
0.424,0,0.001
0.427,0,0.001
0.43,0,0.001
0.433,0,0.001
0.436,0,0.001
0.439,0,0.001
0.442,0,0.001
0.445,0,0.001
0.448,0,0.001
0.451,0,0.001
0.454,0,0.001
0.457,0,0.001
0.46,0,0.001
0.463,0,0.001
0.466,0,0.001
0.469,0,0.001
0.472,0,0.001
0.475,0,0.001
0.478,0,0.001
0.481,0,0.001
0.484,0,0.001
0.487,0,0.001
0.49,0,0.001
0.493,0,0.001
0.496,0,0.001
0.499,0,0.001
0.502,0,0.001
0.505,0,0.001
0.508,0,0.001
0.511,0,0.001
0.514,0,0.001
0.517,0,0.001
0.52,0,0.001
0.523,0,0.001
0.526,0,0.001
0.529,0,0.001
0.532,0,0.001
0.535,0,0.001
0.538,0,0.001
0.541,0,0.001
0.544,0,0.001
0.547,0,0.001
0.55,0,0.001
0.553,0,0.001
0.556,0,0.001
0.559,0,0.001
0.562,0,0.001
0.565,0,0.001
0.568,0,0.001
0.571,0,0.001
0.574,0,0.001
0.577,0,0.001
0.58,0,0.001
0.583,0,0.001
0.586,0,0.001
0.589,0,0.001
0.592,0,0.001
0.595,0,0.001
0.598,0,0.001
0.601,0,0.001
0.604,0,0.001
0.607,0,0.001
0.61,0,0.001
0.613,0,0.001
0.616,0,0.001
0.619,0,0.001
0.622,0,0.001
0.625,0,0.001
0.628,0,0.001
0.631,0,0.001
0.634,0,0.001
0.637,0,0.001
0.64,0,0.001
0.643,0,0.001
0.646,0,0.001
0.649,0,0.001
0.652,0,0.001
0.655,0,0.001
0.658,0,0.001
0.661,0,0.001
0.664,0,0.001
0.667,0,0.001
0.67,0,0.001
0.673,0,0.001
0.676,0,0.001
0.679,0,0.001
0.682,0,0.001
0.685,0,0.001
0.688,0,0.001
0.691,0,0.001
0.694,0,0.001
0.697,0,0.001
0.7,0,0.001
0.703,0,0.001
0.706,0,0.001
0.709,0,0.001
0.712,0,0.001
0.715,0,0.001
0.718,0,0.001
0.721,0,0.001
0.724,0,0.001
0.727,0,0.001
0.73,0,0.001
0.733,0,0.001
0.736,0,0.001
0.739,0,0.001
0.742,0,0.001
0.745,0,0.001
0.748,0,0.001
0.751,0,0.001
0.754,0,0.001
0.757,0,0.001
0.76,0,0.001
0.763,0,0.001
0.766,0,0.001
0.769,0,0.001
0.772,0,0.001
0.775,0,0.001
0.778,0,0.001
0.781,0,0.001
0.784,0,0.001
0.787,0,0.001
0.79,0,0.001
0.793,0,0.001
0.796,0,0.001
0.799,0,0.001
0.802,0,0.001
0.805,0,0.001
0.808,0,0.001
0.811,0,0.001
0.814,0,0.001
0.817,0,0.001
0.82,0,0.001
0.823,0,0.001
0.826,0,0.001
0.829,0,0.001
0.832,0,0.001
0.835,0,0.001
0.838,0,0.001
0.841,0,0.001
0.844,0,0.001
0.847,0,0.001
0.85,0,0.001
0.853,0,0.001
0.856,0,0.001
0.859,0,0.001
0.862,0,0.001
0.865,0,0.001
0.868,0,0.001
0.871,0,0.001
0.874,0,0.001
0.877,0,0.001
0.88,0,0.001
0.883,0,0.001
0.886,0,0.001
0.889,0,0.001
0.892,0,0.001
0.895,0,0.001
0.898,0,0.001
0.901,0,0.001
0.904,0,0.001
0.907,0,0.001
0.91,0,0.001
0.913,0,0.001
0.916,0,0.001
0.919,0,0.001
0.922,0,0.001
0.925,0,0.001
0.928,0,0.001
0.931,0,0.001
0.934,0,0.001
0.937,0,0.001
0.94,0,0.001
0.943,0,0.001
0.946,0,0.001
0.949,0,0.001
0.952,0,0.001
0.955,0,0.001
0.958,0,0.001
0.961,0,0.001
0.964,0,0.001
0.967,0,0.001
0.97,0,0.001
0.973,0,0.001
0.976,0,0.001
0.979,0,0.001
0.982,0,0.001
0.985,0,0.001
0.988,0,0.001
0.991,0,0.001
0.994,0,0.001
0.997,0,0.001
1,0,0.001
